S-12D Kardi 1 0.3424657534246575 S:36, I:5, D:9

S-12D Google 2 0.4050632911392405 S:18, I:0, D:14
S-12D Kardi 2 0.24050632911392406 S:9, I:4, D:6

S-12D Google 3 0.5714285714285714 S:28, I:0, D:20
S-12D Kardi 3 0.2976190476190476 S:14, I:2, D:9

S-12D Google 4 0.4228571428571429 S:40, I:0, D:34
S-12D Kardi 4 0.21714285714285714 S:26, I:2, D:10

S-12D Google 5 0.541095890410959 S:38, I:0, D:41
S-12D Kardi 5 0.3356164383561644 S:29, I:4, D:16

S-18B Google 0 0.34210526315789475 S:45, I:0, D:46
S-18B Kardi 0 0.2744360902255639 S:31, I:30, D:12

S-18B Google 1 0.3059360730593607 S:25, I:3, D:39
S-18B Kardi 1 0.1963470319634703 S:17, I:17, D:9

S-18B Google 2 0.3772455089820359 S:31, I:3, D:29
S-18B Kardi 2 0.24550898203592814 S:24, I:14, D:3

S-18B Google 3 0.37815126050420167 S:44, I:3, D:43
S-18B Kardi 3 0.22268907563025211 S:27, I:16, D:10

S-18B Google 4 0.291044776119403 S:33, I:3, D:42
S-18B Kardi 4 0.2462686567164179 S:28, I:17, D:21

S-18B Google 5 0.29285714285714287 S:36, I:2, D:44
S-18B Kardi 5 0.15 S:20, I:11, D:11

S-18B Google 6 0.26785714285714285 S:17, I:1, D:12
S-18B Kardi 6 0.17857142857142858 S:6, I:7, D:7

S-18B Google 7 0.296875 S:37, I:5, D:15
S-18B Kardi 7 0.19270833333333334 S:19, I:10, D:8

S-18B Google 8 0.4358974358974359 S:8, I:0, D:9
S-18B Kardi 8 0.3076923076923077 S:8, I:0, D:4

S-18B Google 9 1.0 S:8, I:1, D:0
S-18B Kardi 9 0.7777777777777778 S:4, I:3, D:0

S-18B Google 10 0.23076923076923078 S:8, I:0, D:7
S-18B Kardi 10 0.38461538461538464 S:9, I:14, D:2

S-18B Google 11 0.34868421052631576 S:34, I:2, D:17
S-18B Kardi 11 0.27631578947368424 S:19, I:15, D:8

S-26B Google 0 0.36585365853658536 S:13, I:0, D:17
S-26B Kardi 0 0.2804878048780488 S:13, I:6, D:4

S-26B Google 1 0.35564853556485354 S:38, I:0, D:47
S-26B Kardi 1 0.2928870292887029 S:38, I:18, D:14

S-26B Google 2 0.39705882352941174 S:64, I:4, D:40
S-26B Kardi 2 0.2647058823529412 S:45, I:15, D:12

S-26B Google 3 0.4740740740740741 S:34, I:1, D:29
S-26B Kardi 3 0.362962962962963 S:36, I:6, D:7

S-26B Google 4 0.3894736842105263 S:59, I:4, D:48
S-26B Kardi 4 0.21754385964912282 S:36, I:6, D:20

S-26B Google 5 0.5116279069767442 S:118, I:2, D:78
S-26B Kardi 5 0.40310077519379844 S:98, I:9, D:49

S-26B Google 6 0.31213872832369943 S:20, I:0, D:34
S-26B Kardi 6 0.26011560693641617 S:31, I:5, D:9

S-26B Google 7 0.28865979381443296 S:15, I:0, D:13
S-26B Kardi 7 0.29896907216494845 S:22, I:5, D:2

S-26B Google 8 0.32142857142857145 S:19, I:3, D:14
S-26B Kardi 8 0.24107142857142858 S:14, I:5, D:8

S-26B Google 9 0.39285714285714285 S:8, I:0, D:3
S-26B Kardi 9 0.39285714285714285 S:10, I:0, D:1

S-26B Google 10 0.5909090909090909 S:33, I:3, D:16
S-26B Kardi 10 0.4090909090909091 S:24, I:4, D:8

S-26B Google 11 0.5714285714285714 S:0, I:0, D:4
S-26B Kardi 11 0.42857142857142855 S:1, I:1, D:1

S-30B Google 0 0.3811881188118812 S:37, I:1, D:39
S-30B Kardi 0 0.31683168316831684 S:38, I:18, D:8

S-30B Google 1 0.3333333333333333 S:12, I:2, D:32
S-30B Kardi 1 0.36231884057971014 S:21, I:26, D:3

S-30B Google 2 0.20774647887323944 S:22, I:1, D:36
S-30B Kardi 2 0.19014084507042253 S:32, I:17, D:5

S-30B Google 3 0.225531914893617 S:24, I:1, D:28
S-30B Kardi 3 0.20425531914893616 S:28, I:14, D:6

S-30B Google 4 0.26304347826086955 S:49, I:1, D:71
S-30B Kardi 4 0.2391304347826087 S:58, I:23, D:29

S-30B Google 5 0.2698744769874477 S:48, I:5, D:76
S-30B Kardi 5 0.200836820083682 S:60, I:16, D:20

S-30B Google 6 0.20754716981132076 S:1, I:0, D:10
S-30B Kardi 6 0.2641509433962264 S:6, I:4, D:4

S-30B Google 7 0.2876712328767123 S:11, I:0, D:10
S-30B Kardi 7 0.2602739726027397 S:9, I:8, D:2

S-30B Google 8 0.2962962962962963 S:1, I:0, D:7
S-30B Kardi 8 0.37037037037037035 S:5, I:5, D:0

S-30B Google 9 0.5 S:8, I:0, D:17
S-30B Kardi 9 0.18 S:7, I:1, D:1

S-30B Google 10 0.5833333333333334 S:5, I:0, D:9
S-30B Kardi 10 0.4583333333333333 S:4, I:7, D:0

S-30B Google 11 0.40384615384615385 S:4, I:1, D:16
S-30B Kardi 11 0.3076923076923077 S:8, I:4, D:4

S-9A - reference trasncripts empty

S-2B Google 0 0.5108695652173914 S:14, I:0, D:33
S-2B Kardi 0 0.45652173913043476 S:23, I:12, D:7

S-2B Google 1 0.5892857142857143 S:24, I:0, D:42
S-2B Kardi 1 0.5357142857142857 S:37, I:11, D:12

S-2B Google 2 0.5550847457627118 S:138, I:5, D:119
S-2B Kardi 2 0.4067796610169492 S:109, I:21, D:62

S-2B Google 3 0.4764705882352941 S:38, I:0, D:43
S-2B Kardi 3 0.3176470588235294 S:35, I:1, D:18

S-2B Google 4 0.4753623188405797 S:83, I:2, D:79
S-2B Kardi 4 0.4 S:88, I:16, D:34

S-2B Google 5 0.5043290043290043 S:91, I:3, D:139
S-2B Kardi 5 0.2922077922077922 S:81, I:6, D:48

S-17A Google 0 0.32983193277310924 S:78, I:3, D:76
S-17A Kardi 0 0.20378151260504201 S:66, I:12, D:19

S-17A Google 1 0.2564991334488735 S:79, I:4, D:65
S-17A Kardi 1 0.1438474870017331 S:58, I:7, D:18

S-17A Google 2 0.21656050955414013 S:29, I:3, D:36
S-17A Kardi 2 0.10191082802547771 S:19, I:7, D:6

S-17A Google 3 0.29421487603305785 S:107, I:6, D:65
